original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
MANUEL	LEJEUNE	MANUEL	LEJEUNE	ISGC	M	LEJEUNE M
NATHALIE	KARDOS	NATHALIE	KARDOS	ISGC	N	KARDOS N
ESTELLE	MÉTAY	ESTELLE	METAY	ISGC	E	METAY E
FLORENCE	POPOWYCZ	FLORENCE	POPOWYCZ	ISGC	F	POPOWYCZ F
VASILIKI	ZACHAROPOULOU	VASILIKI	ZACHAROPOULOU	ISGC	V	ZACHAROPOULOU V
ANGELIKI	LEMONIDOU	ANGELIKI	LEMONIDOU	ISGC	A	LEMONIDOU A
KARIMA	MORAKCHI	KARIMA	MORAKCHI	ISGC	K	MORAKCHI K
RAPHAËL	LEBEUF	RAPHAEL	LEBEUF	ISGC	R	LEBEUF R
ERIC	DA SILVA	ERIC	DA SILVA	ISGC	E	DA SILVA E
CORENTIN	DUSSENNE	CORENTIN	DUSSENNE	ISGC	C	DUSSENNE C
JAN C KEES	VAN DER WAAL	JAN C KEES	VAN DER WAAL	ISGC	JCK	VAN DER WAAL JCK
RONAN	BEHLING	RONAN	BEHLING	ISGC	R	BEHLING R
SABINE	VALANGE	SABINE	VALANGE	ISGC	S	VALANGE S
GREGORY	CHATEL	GREGORY	CHATEL	ISGC	G	CHATEL G
FRANCK	LAUNAY	FRANCK	LAUNAY	ISGC	F	LAUNAY F
SOPHIE	FOURMENTIN	SOPHIE	FOURMENTIN	ISGC	S	FOURMENTIN S
TAREK	MOUFAWAD	TAREK	MOUFAWAD	ISGC	T	MOUFAWAD T
MICHEL	FERREIRA	MICHEL	FERREIRA	ISGC	M	FERREIRA M
HERVE	BRICOUT	HERVE	BRICOUT	ISGC	H	BRICOUT H
SEBASTIEN	TILLOY	SEBASTIEN	TILLOY	ISGC	S	TILLOY S
DAVID	LANDY	DAVID	LANDY	ISGC	D	LANDY D
ANA	RIBEIRO	ANA P C	RIBEIRO	ISGC	A	RIBEIRO A
ELISABETE C B A	ALEGRIA	ELISABETE C B A	ALEGRIA	ISGC	ECBA	ALEGRIA ECBA
LUÍSA M D R S	MARTINS	LUISA M D R S	MARTINS	ISGC	LMDRS	MARTINS LMDRS
ARMANDO J L	POMBEIRO	ARMANDO J L	POMBEIRO	ISGC	AJL	POMBEIRO AJL
ERIC	DEJAIFFE	ERIC	DEJAIFFE	ISGC	E	DEJAIFFE E
FRANCISCA	MANO	FRANCISCA	MANO	ISGC	F	MANO F
MARGARIDA S	MIRANDA	MARGARIDA S	MIRANDA	ISGC	MS	MIRANDA MS
LILIANA	RODRIGUES	LILIANA A	RODRIGUES	ISGC	L	RODRIGUES L
TERESA	SERRA	TERESA	SERRA	ISGC	T	SERRA T
ANA	MATIAS	ANA ALEXANDRA	MATIAS	ISGC	A	MATIAS A
ANA R	DUARTE	ANA RITA C	DUARTE	ISGC	AR	DUARTE AR
PANKAJ	BHARMORIA	PANKAJ	BHARMORIA	ISGC	P	BHARMORIA P
YI-HONG	CHUNG	YI HONG	CHUNG	ISGC	Y	CHUNG Y
CHI-MIN	SHU	CHI MIN SHU	SHU	ISGC	C	SHU C
WEI-CHUN	CHEN	WEI CHUN	CHEN	ISGC	W	CHEN W
YI-WEN	WANG	YIH WEN	WANG	ISGC	Y	WANG Y
RAFAEL	CARMO	RAFAEL	CARMO	ISGC	R	CARMO R
EMANUELLE	FARIA	EMANUELLE L P	FARIA	ISGC	E	FARIA E
CARMEN	FREIRE	CARMEN S R	FREIRE	ISGC	C	FREIRE C
REBECA	SANCHEZ VAZQUEZ	REBECA	SANCHEZ VAZQUEZ	ISGC	R	SANCHEZ VAZQUEZ R
DAVID	BRIONES	DAVID	BRIONES	ISGC	D	BRIONES D
ANGEL	LOPEZ	ANGEL	LOPEZ	ISGC	A	LOPEZ A
STEVEN-FRISO	KOELEWIJN	STEVEN FRISO	KOELEWIJN	ISGC	S	KOELEWIJN S
BEGOÑA	GONZÁLEZ	BEGONA	GONZALEZ	ISGC	B	GONZALEZ B
PEDRO	MAIRELES-TORRES	PEDRO J	MAIRELES TORRES	ISGC	P	MAIRELES-TORRES P
CARMEN PILAR	JIMÉNEZ-GÓMEZ	CARMEN PILAR	JIMENEZ GOMEZ	ISGC	CP	JIMENEZ-GOMEZ CP
JUAN ANTONIO	CECILIA	JUAN ANTONIO	CECILIA	ISGC	JA	CECILIA JA
RAMÓN	MORENO-TOST	RAMON	MORENO TOST	ISGC	R	MORENO-TOST R
JOSÉ	SANTAMARÍA-GONZÁLEZ	JOSE	SANTAMARIA GONZALEZ	ISGC	J	SANTAMARIA-GONZALEZ J
MARTINA	PINI	MARTINA	PINI	ISGC	M	PINI M
ROBERTO	ROSA	ROBERTO	ROSA	ISGC	R	ROSA R
PAOLO	NERI	PAOLO	NERI	ISGC	P	NERI P
MASSIMO	CORSI	MASSIMO	CORSI	ISGC	M	CORSI M
ROBERTO	BIANCHINI	ROBERTO	BIANCHINI	ISGC	R	BIANCHINI R
ANNA MARIA	FERRARI	ANNA MARIA	FERRARI	ISGC	AM	FERRARI AM
MARCO	BONANNI	MARCO	BONANNI	ISGC	M	BONANNI M
JOAO	COUTINHO	JOAO A P	COUTINHO	ISGC	J	COUTINHO J
FILIPA	VICENTE	FILIPA	VICENTE	ISGC	F	VICENTE F
INES	CARDOSO	INES	CARDOSO	ISGC	I	CARDOSO I
SONIA	VENTURA	SONIA P M	VENTURA	ISGC	S	VENTURA S
AUDREY	MAZIERE	AUDREY	MAZIERE	ISGC	A	MAZIERE A
ANDRADA	BUTT	ANDRADA	BUT	ISGC	A	BUTT A
EVIE	VAN DER WIJST	EVIE	VAN DER WIJST	ISGC	E	VAN DER WIJST E
JENS	NAGENGAST	JENS	NAGENGAST	ISGC	J	NAGENGAST J
MARCUS	ROSE	MARCUS	ROSE	ISGC	M	ROSE M
ZOE	HEARNE	ZOE	HEARNE	ISGC	Z	HEARNE Z
FRANCISCA	SILVA	FRANCISCA A E	SILVA	ISGC	F	SILVA F
TANIA	SINTRA	TANIA E	SINTRA	ISGC	T	SINTRA T
FARID	BENKACI-ALI	FARID	BENKACI ALI	ISGC	F	BENKACI-ALI F
YAMINA	HACIANE	YAMINA	HACIANE	ISGC	Y	HACIANE Y
GAUTHIER	EPPE	GAUTHIER	EPPE	ISGC	G	EPPE G
LINDA	OTTEN	LINDA	OTTEN	ISGC	L	OTTEN L
CARMEN	BOERIU	CARMEN	BOERIU	ISGC	C	BOERIU C
ANAMARIA	TODEA	ANAMARIA	TODEA	ISGC	A	TODEA A
ISABEL	ARENDS	ISABEL	ARENDS	ISGC	I	ARENDS I
FRANCISC	PETER	FRANCISC	PETER	ISGC	F	PETER F
MARIA ANTONIETA	ANAYA CASTRO	MARIA ANTONIETA	ANAYA CASTRO	ISGC	MA	ANAYA CASTRO MA
VANESSA	DURRIEU	VANESSA	DURRIEU	ISGC	V	DURRIEU V
ISABELLE	ALRIC	ISABELLE	ALRIC	ISGC	I	ALRIC I
SOPHIE	FULLANA-GIROD	SOPHIE	FULLANA GIROD	ISGC	S	FULLANA-GIROD S
THIJS	ENNAERT	THIJS	ENNAERT	ISGC	T	ENNAERT T
THAINÁ	PECORARI	THAINA S	PECORARI	ISGC	T	PECORARI T
VALÉRIA DE C	SANTOS-EBINUMA	SANTOS EBINUMA	VALERIA DE CARVALHO	ISGC	VDC	SANTOS-EBINUMA VDC
KATALIN	BARTA	KATALIN	BARTA	ISGC	K	BARTA K
MARCIN	JEDRZEJCZYK	MARCIN	JEDRZEJCZYK	ISGC	M	JEDRZEJCZYK M
OLGA	SNEKA-PLATEK	OLGA	SNEKA PLATEK	ISGC	O	SNEKA-PLATEK O
KAMILA	KAZMIERCZAK	KAMILA	KAZMIERCZAK	ISGC	K	KAZMIERCZAK K
DAMIAN	BROCK	DAMIAN	BROCK	ISGC	D	BROCK D
ALI	KHOSHSIMA	ALI	KHOSHSIMA	ISGC	A	KHOSHSIMA A
XAVIER	FROGNEUX	XAVIER	FROGNEUX	ISGC	X	FROGNEUX X
PASCALE	CHAMPAGNE	PASCALE	CHAMPAGNE	ISGC	P	CHAMPAGNE P
OMAR	GARCIA-VALDEZ	OMAR	GARCIA VALDEZ	ISGC	O	GARCIA-VALDEZ O
JOAQUIN	ARREDONDO	JOAQUIN	ARREDONDO	ISGC	J	ARREDONDO J
PHILIP	JESSOP	PHILIP	JESSOP	ISGC	P	JESSOP P
MICHAEL	CUNNINGHAM	MICHAEL	CUNNINGHAM	ISGC	M	CUNNINGHAM M
PAOLA	FERRINI	PAOLA	FERRINI	ISGC	P	FERRINI P
ANDRÉ M	DA COSTA LOPES	ANDRE M	DA COSTA LOPES	ISGC	AM	DA COSTA LOPES AM
RAFAL	LUKASIK	RAFAL	LUKASIK	ISGC	R	LUKASIK R
LUISA	ROSEIRO	LUISA	ROSEIRO	ISGC	L	ROSEIRO L
RICARDO	REBELO	RICARDO	REBELO	ISGC	R	REBELO R
ENZO	LAURENTI	ENZO	LAURENTI	ISGC	E	LAURENTI E
GIULIANA	MAGNACCA	GIULIANA	MAGNACCA	ISGC	G	MAGNACCA G
PIERANGIOLA	BRACCO	PIERANGIOLA	BRACCO	ISGC	P	BRACCO P
ANDREA	DI GIULIANO	ANDREA	DI GIULIANO	ISGC	A	DI GIULIANO A
JEREMY	GIRR	JEREMY	GIRR	ISGC	J	GIRR J
KATIA	GALLUCCI	KATIA	GALLUCCI	ISGC	K	GALLUCCI K
CLAIRE	COURSON	CLAIRE	COURSON	ISGC	C	COURSON C
TOMMASO	TABANELLI	TOMMASO	TABANELLI	ISGC	T	TABANELLI T
ALVISE	PEROSA	ALVISE	PEROSA	ISGC	A	PEROSA A
MAURIZIO	SELVA	MAURIZIO	SELVA	ISGC	M	SELVA M
STEFAN	BÖHMDORFER	STEFAN	BOHMDORFER	ISGC	S	BOHMDORFER S
IVAN	SUMERSKII	IVAN	SUMERSKII	ISGC	I	SUMERSKII I
ANTJE	POTTHAST	ANTJE	POTTHAST	ISGC	A	POTTHAST A
GRIGORY	ZINOVYEV	GRIGORY	ZINOVYEV	ISGC	G	ZINOVYEV G
IRINA	SULAEVA	IRINA	SULAEVA	ISGC	I	SULAEVA I
CHARLIE	VERRIER	CHARLIE	VERRIER	ISGC	C	VERRIER C
MATTIA	SILVI	MATTIA	SILVI	ISGC	M	SILVI M
YANNICK	REY	YANNICK	REY	ISGC	Y	REY Y
LUCA	BUZZETTI	LUCA	BUZZETTI	ISGC	L	BUZZETTI L
