original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
PAOLO	MELCHIORRE	PAOLO	MELCHIORRE	ISGC	P	MELCHIORRE P
JAIME	GRUNLAN	JAIME	GRUNLAN	ISGC	J	GRUNLAN J
MOUSTAFA	KHALIFA	MOUSTAFA	KHALIFA	ISGC	M	KHALIFA M
MOUSTAFA	ABBASSY	MOUSTAFA	ABBASSY	ISGC	M	ABBASSY M
AHMED	MASOUD	AHMED	MASOUD	ISGC	A	MASOUD A
VINCENT	RITLENG	VINCENT	RITLENG	ISGC	V	RITLENG V
LOÏC	JIERRY	LOIC	JIERRY	ISGC	L	JIERRY L
DAVID	EDOUARD	DAVID	EDOUARD	ISGC	D	EDOUARD D
ELODIE	PARDIEU	ELODIE	PARDIEU	ISGC	E	PARDIEU E
NGUYET TRANG THANH	CHAU	NGUYET TRANG THANH	CHAU	ISGC	NTT	CHAU NTT
LOUIS	LEFEBVRE	LOUIS	LEFEBVRE	ISGC	L	LEFEBVRE L
JULIEN	KELBER	JULIEN	KELBER	ISGC	J	KELBER J
BLANCHE GRAZIELLA	RANISAHARIVONY	BLANCHE GRAZIELLA	RANISAHARIVONY	ISGC	BG	RANISAHARIVONY BG
VOAHANGY	RAMANANDRAIBE	VOAHANGY	VESTALYS RAMANANDRAIBE	ISGC	V	RAMANANDRAIBE V
PRABHAT	BHAT	PRABHAT	BHAT	ISGC	P	BHAT P
WAHIBA	RAMDANI	WAHIBA	RAMDANI	ISGC	W	RAMDANI W
FRANÇOIS	JÉROME	FRANCOIS	JEROME	ISGC	F	JEROME F
RACHID	KESSAS	RACHID	KESSAS	ISGC	R	KESSAS R
ZHIFANG	JIA	ZHIFANG	JIA	ISGC	Z	JIA Z
LIN	WANG	LIN	WANG	ISGC	L	WANG L
NAOYA	ONISHI	NAOYA	ONISHI	ISGC	N	ONISHI N
JAMES T	MUCKERMAN	JAMES T	MUCKERMAN	ISGC	JT	MUCKERMAN JT
ETSUKO	FUJITA	ETSUKO	FUJITA	ISGC	E	FUJITA E
YANTAO	WANG	YANTAO	WANG	ISGC	Y	WANG Y
FREDERIC	DELBECQ	FREDERIC	DELBECQ	ISGC	F	DELBECQ F
RAJENDER	VARMA	RAJENDER	VARMA	ISGC	R	VARMA R
STEFANIA	ALBONETTI	STEFANIA	ALBONETTI	ISGC	S	ALBONETTI S
LORENZO	GRAZIA	LORENZO	GRAZIA	ISGC	L	GRAZIA L
YU	ZHANG	YU	ZHANG	ISGC	Y	ZHANG Y
ALICE	LOLLI	ALICE	LOLLI	ISGC	A	LOLLI A
GIADA	INNOCENTI	GIADA	INNOCENTI	ISGC	G	INNOCENTI G
RIBEIRO	LUCÍLIA	RIBEIRO	LUCILIA	ISGC	R	LUCILIA R
MANUEL FERNANDO R	PEREIRA	MANUEL FERNANDO RIBEIRO	PEREIRA	ISGC	MFR	PEREIRA MFR
LUCÍLIA S	RIBEIRO	LUCILIA SOUSA	RIBEIRO	ISGC	LS	RIBEIRO LS
JOSÉ J M	ÓRFÃO	JOSE JOAQUIM DE MELO	ORFAO	ISGC	JJM	ORFAO JJM
CLÉMENT	COMMINGES	CLEMENT	COMMINGES	ISGC	C	COMMINGES C
NIHAT-EGE	SAHIN	NIHAT EGE	SAHIN	ISGC	N	SAHIN N
ANTHONY	LE VALANT	ANTHONY	LE VALANT	ISGC	A	LE VALANT A
TEKO	NAPPORN	TEKO WILHELMIN	NAPPORN	ISGC	T	NAPPORN T
JULIEN	PARMENTIER	JULIEN	PARMENTIER	ISGC	J	PARMENTIER J
OVIDIU	ERSEN	OVIDIU	ERSEN	ISGC	O	ERSEN O
GEORGIAN	MELINTE	GEORGIAN	MELINTE	ISGC	G	MELINTE G
BONIFACE	KOKOH	KOUAKOU BONIFACE	KOKOH	ISGC	B	KOKOH B
BEN	FERINGA	BEN	FERINGA	ISGC	B	FERINGA B
TAO	YAN	TAO	YAN	ISGC	T	YAN T
FEN-TAIR	LUO	FEN TAIR	LUO	ISGC	F	LUO F
JAROSLAW	POLANSKI	JAROSLAW	POLANSKI	ISGC	J	POLANSKI J
DANILO	BONINCONTRO	DANILO	BONINCONTRO	ISGC	D	BONINCONTRO D
STEPHANE	GRELIER	STEPHANE	GRELIER	ISGC	S	GRELIER S
ALEX	RAKOTOVELO	ALEX	RAKOTOVELO	ISGC	A	RAKOTOVELO A
FREDERIC	PERUCH	FREDERIC	PERUCH	ISGC	F	PERUCH F
CHIN HUI	YU	CHIN HUI	YU	ISGC	CH	YU CH
YUHSUAN	LEE	YUHSUAN	LEE	ISGC	Y	LEE Y
MARIE-CÉLINE	FRANTZ	MARIE CELINE	FRANTZ	ISGC	M	FRANTZ M
ROGER	ROZOT	ROGER	ROZOT	ISGC	R	ROZOT R
MARIA	DALKO-CSIBA	MARIA	DALKO CSIBA	ISGC	M	DALKO-CSIBA M
LAURENCE	DEYON-JUNG	LAURENCE	DEYON JUNG	ISGC	L	DEYON-JUNG L
CHRISTOPHE	MORICE	CHRISTOPHE	MORICE	ISGC	C	MORICE C
FLORENCE	CHÉRY	FLORENCE	CHERY	ISGC	F	CHERY F
