name	original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
KWINTEN, JANSSENS	KWINTEN	JANSSENS	KWINTEN	JANSSENS	ISGC	K	JANSSENS K
WOUT, JANSSENS	WOUT	JANSSENS	WOUT	JANSSENS	ISGC	W	JANSSENS W
MARINE, JANVIER	MARINE	JANVIER	MARINE	JANVIER	ISGC	M	JANVIER M
AHMED, JARRAY	AHMED	JARRAY	AHMED	JARRAY	ISGC	A	JARRAY A
GAUTHIER, JARROUSSE	GAUTHIER	JARROUSSE	GAUTHIER	JARROUSSE	ISGC	G	JARROUSSE G
AMANDA G, JARVIS	AMANDA G	JARVIS	AMANDA G	JARVIS	ISGC	AG	JARVIS AG
EDITA, JASIUKAITYTE GROJZDEK	EDITA	JASIUKAITYTE GROJZDEK	EDITA	JASIUKAITYTE GROJZDEK	ISGC	E	JASIUKAITYTE GROJZDEK E
JOHANN, JASTRZEBSKI	JOHANN	JASTRZEBSKI	JOHANN	JASTRZEBSKI	ISGC	J	JASTRZEBSKI J
ROBIN, JASTRZEBSKI	ROBIN	JASTRZEBSKI	ROBIN	JASTRZEBSKI	ISGC	R	JASTRZEBSKI R
THOMAS, JAUBERT	THOMAS	JAUBERT	THOMAS	JAUBERT	ISGC	T	JAUBERT T
LOÏC, JAUBERTY	LOÏC	JAUBERTY	LOIC	JAUBERTY	ISGC	L	JAUBERTY L
LOIC, JAUBERTY	LOIC	JAUBERTY	LOIC	JAUBERTY	ISGC	L	JAUBERTY L
ABDUS SAMAD, JAUFURALLY	ABDUS SAMAD	JAUFURALLY	ABDUS SAMAD	JAUFURALLY	ISGC	AS	JAUFURALLY AS
THANGAVELU, JAYABALAN	THANGAVELU	JAYABALAN	THANGAVELU	JAYABALAN	ISGC	T	JAYABALAN T
LUDIVINE, JEAN-GÉRARD	LUDIVINE	JEAN-GÉRARD	LUDIVINE	JEAN GERARD	ISGC	L	JEAN-GERARD L
LUDIVINE, JEAN GERARD	LUDIVINE	JEAN GERARD	LUDIVINE	JEAN GERARD	ISGC	L	JEAN GERARD L
MARCIN, JEDRZEJCZYK	MARCIN	JEDRZEJCZYK	MARCIN	JEDRZEJCZYK	ISGC	M	JEDRZEJCZYK M
JELENA, JEFTIC	JELENA	JEFTIC	JELENA	JEFTIC	ISGC	J	JEFTIC J
GWENAELLE, JEGOU	GWENAELLE	JEGOU	GWENAELLE	JEGOU	ISGC	G	JEGOU G
ANKER DEGN, JENSEN	ANKER DEGN	JENSEN	ANKER DEGN	JENSEN	ISGC	AD	JENSEN AD
CHRISTOPHER, JENSEN	CHRISTOPHER	JENSEN	CHRISTOPHER	JENSEN	ISGC	C	JENSEN C
VIDAR, JENSEN	VIDAR	JENSEN	VIDAR	JENSEN	ISGC	V	JENSEN V
HANCHEOL, JEON	HANCHEOL	JEON	HANCHEOL	JEON	ISGC	H	JEON H
HA EUN, JEONG	HA EUN	JEONG	HA EUN	JEONG	ISGC	HE	JEONG HE
SO-YEON, JEONG	SO-YEON	JEONG	SO YEON	JEONG	ISGC	S	JEONG S
SO YEON, JEONG	SO YEON	JEONG	SO YEON	JEONG	ISGC	SY	JEONG SY
CHRISTINE, JEROME	CHRISTINE	JEROME	CHRISTINE	JEROME	ISGC	C	JEROME C
CHRISTINE, JÉRÔME	CHRISTINE	JÉRÔME	CHRISTINE	JEROME	ISGC	C	JEROME C
FRANÇOIS, JÉRÔME	FRANÇOIS	JÉRÔME	FRANCOIS	JEROME	ISGC	F	JEROME F
FRANCOIS, JEROME	FRANCOIS	JEROME	FRANCOIS	JEROME	ISGC	F	JEROME F
F, JÉROME	F	JÉROME	FRANCOIS	JEROME	ISGC	F	JEROME F
FRANÇOIS, JÉROME	FRANÇOIS	JÉROME	FRANCOIS	JEROME	ISGC	F	JEROME F
FRANÇOIS, JERÔME	FRANÇOIS	JERÔME	FRANCOIS	JEROME	ISGC	F	JEROME F
FRANÇOIS, JEROME	FRANÇOIS	JEROME	FRANCOIS	JEROME	ISGC	F	JEROME F
ANDREAS, JESS	ANDREAS	JESS	ANDREAS	JESS	ISGC	A	JESS A
PHILIP, JESSOP	PHILIP	JESSOP	PHILIP	JESSOP	ISGC	P	JESSOP P
P, JESSOP	P	JESSOP	PHILIP	JESSOP	ISGC	P	JESSOP P
SIMON, JESTIN	SIMON	JESTIN	SIMON	JESTIN	ISGC	S	JESTIN S
VICTORIEN, JEUX	VICTORIEN	JEUX	VICTORIEN	JEUX	ISGC	V	JEUX V
WUN-CHENG, JHANG	WUN-CHENG	JHANG	WUN CHENG	JHANG	ISGC	W	JHANG W
WUN CHENG, JHANG	WUN CHENG	JHANG	WUN CHENG	JHANG	ISGC	WC	JHANG WC
WEIJIE, JI	WEIJIE	JI	WEIJIE	JI	ISGC	W	JI W
LIANGYUAN, JIA	LIANGYUAN	JIA	LIANGYUAN	JIA	ISGC	L	JIA L
ZHIFANG, JIA	ZHIFANG	JIA	ZHIFANG	JIA	ISGC	Z	JIA Z
JINGYANG, JIANG	JINGYANG	JIANG	JINGYANG	JIANG	ISGC	J	JIANG J
SHI, JIANG	SHI	JIANG	SHI	JIANG	ISGC	S	JIANG S
YUSHENG, JIANG	YUSHENG	JIANG	YUSHENG	JIANG	ISGC	Y	JIANG Y
ZHICHENG, JIANG	ZHICHENG	JIANG	ZHICHENG	JIANG	ISGC	Z	JIANG Z
HAIJUN, JIAO	HAIJUN	JIAO	HAIJUN	JIAO	ISGC	H	JIAO H
LOÏC, JIERRY	LOÏC	JIERRY	LOIC	JIERRY	ISGC	L	JIERRY L
LOIC, JIERRY	LOIC	JIERRY	LOIC	JIERRY	ISGC	L	JIERRY L
CARMEN PILAR, JIMÉNEZ-GÓMEZ	CARMEN PILAR	JIMÉNEZ-GÓMEZ	CARMEN PILAR	JIMENEZ GOMEZ	ISGC	CP	JIMENEZ-GOMEZ CP
CARMEN P, JIMÉNEZ-GÓMEZ	CARMEN P	JIMÉNEZ-GÓMEZ	CARMEN PILAR	JIMENEZ GOMEZ	ISGC	CP	JIMENEZ-GOMEZ CP
CARMEN PILAR, JIMENEZ GOMEZ	CARMEN PILAR	JIMENEZ GOMEZ	CARMEN PILAR	JIMENEZ GOMEZ	ISGC	CP	JIMENEZ GOMEZ CP
AMPARO, JIMENEZ QUERO	AMPARO	JIMENEZ QUERO	AMPARO	JIMENEZ QUERO	ISGC	A	JIMENEZ QUERO A
AMPARO, JIMÉNEZ-QUERO	AMPARO	JIMÉNEZ-QUERO	AMPARO	JIMENEZ QUERO	ISGC	A	JIMENEZ-QUERO A
MÓNICA, JIMÉNEZ-RUIZ	MÓNICA	JIMÉNEZ-RUIZ	MONICA	JIMENEZ RUIZ	ISGC	M	JIMENEZ-RUIZ M
MONICA, JIMENEZ RUIZ	MONICA	JIMENEZ RUIZ	MONICA	JIMENEZ RUIZ	ISGC	M	JIMENEZ RUIZ M
EONSEON, JIN	EONSEON	JIN	EONSEON	JIN	ISGC	E	JIN E
ZILIN, JIN	ZILIN	JIN	ZILIN	JIN	ISGC	Z	JIN Z
FANGLI, JING	FANGLI	JING	FANGLI	JING	ISGC	F	JING F
HERVÉ, JOBIC	HERVÉ	JOBIC	HERVE	JOBIC	ISGC	H	JOBIC H
HERVE, JOBIC	HERVE	JOBIC	HERVE	JOBIC	ISGC	H	JOBIC H
BENOIT, JOFFRES	BENOIT	JOFFRES	BENOIT	JOFFRES	ISGC	B	JOFFRES B
OLATUNDE, JOGUNOLA	OLATUNDE	JOGUNOLA	OLATUNDE	JOGUNOLA	ISGC	O	JOGUNOLA O
CLAUDE, JOLIVALT	CLAUDE	JOLIVALT	CLAUDE	JOLIVALT	ISGC	C	JOLIVALT C
CAROLINE, JOLY	CAROLINE	JOLY	CAROLINE	JOLY	ISGC	C	JOLY C
CATHERINE, JOLY	CATHERINE	JOLY	CATHERINE	JOLY	ISGC	C	JOLY C
NICOLAS, JOLY	NICOLAS	JOLY	NICOLAS	JOLY	ISGC	N	JOLY N
ROXAN, JONCOUR	ROXAN	JONCOUR	ROXAN	JONCOUR	ISGC	R	JONCOUR R
ANNELIE, JONGERIUS	ANNELIE	JONGERIUS	ANNELIE	JONGERIUS	ISGC	A	JONGERIUS A
ANNA L, JONGERIUS	ANNA L	JONGERIUS	ANNELIE	JONGERIUS	other	AL	JONGERIUS AL
A L, JONGERIUS	A L	JONGERIUS	ANNELIE	JONGERIUS	other	AL	JONGERIUS AL
BENJAMIN, JOOSEN	BENJAMIN	JOOSEN	BENJAMIN	JOOSEN	ISGC	B	JOOSEN B
JEREMY, JORDA	JEREMY	JORDA	JEREMY	JORDA	ISGC	J	JORDA J
FERNANDA, THIMOTEO AZEVEDO JORGE	FERNANDA	THIMOTEO AZEVEDO JORGE	FERNANDA THIMOTEO AZEVEDO	JORGE	ISGC	F	THIMOTEO AZEVEDO JORGE F
FERNANDA THIMOTEO AZEVEDO, JORGE	FERNANDA THIMOTEO AZEVEDO	JORGE	FERNANDA THIMOTEO AZEVEDO	JORGE	ISGC	FTA	JORGE FTA
CARLOS MENENDEZ, JOSE	CARLOS MENENDEZ	JOSE	CARLOS MENENDEZ	JOSE	ISGC	CM	JOSE CM
JACQUES, JOSE	JACQUES	JOSE	JACQUES	JOSE	ISGC	J	JOSE J
LIONEL, JOUCLA	LIONEL	JOUCLA	LIONEL	JOUCLA	ISGC	L	JOUCLA L
PEREAÑES-SACARÍAS, JUAN ENRIQUE	PEREAÑES-SACARÍAS	JUAN ENRIQUE	PEREANES SACARIAS	JUAN ENRIQUE	other	P	JUAN ENRIQUE P
PEREAÑES-SACARIAS, JUAN ENRIQUE	PEREAÑES-SACARIAS	JUAN ENRIQUE	PEREANES SACARIAS	JUAN ENRIQUE	other	P	JUAN ENRIQUE P
PEREAÑES-SACARÍAS, J E	PEREAÑES-SACARÍAS	J E	PEREANES SACARIAS	JUAN ENRIQUE	other	P	J E P
PEREAÑES-SACARIAS, J E	PEREAÑES-SACARIAS	J E	PEREANES SACARIAS	JUAN ENRIQUE	other	P	J E P
PABLO, JUAREZ	PABLO	JUAREZ	PABLO	JUAREZ	ISGC	P	JUAREZ P
ANNE, JULBE	ANNE	JULBE	ANNE	JULBE	ISGC	A	JULBE A
BOGDAN, JURCA	BOGDAN	JURCA	BOGDAN	JURCA	ISGC	B	JURCA B
ALIREZA, KABOORANI	ALIREZA	KABOORANI	ALIREZA	KABOORANI	ISGC	A	KABOORANI A
JULIAN, KADAR	JULIAN	KADAR	JULIAN	KADAR	ISGC	J	KADAR J
REETTA, KAILA	REETTA	KAILA	REETTA	KAILA	ISGC	R	KAILA R
RYOHEI, KAKUCHI	RYOHEI	KAKUCHI	RYOHEI	KAKUCHI	ISGC	R	KAKUCHI R
AIDA, KALANTARI	AIDA	KALANTARI	AIDA	KALANTARI	ISGC	A	KALANTARI A
SERGE, KALIAGUINE	SERGE	KALIAGUINE	SERGE	KALIAGUINE	ISGC	S	KALIAGUINE S
MALEE, KALLBACH	MALEE	KALLBACH	MALEE	KALLBACH	ISGC	M	KALLBACH M
ANNA, KALLIOLA	ANNA	KALLIOLA	ANNA	KALLIOLA	ISGC	A	KALLIOLA A
SIMO, KALLIOLA	SIMO	KALLIOLA	SIMO	KALLIOLA	ISGC	S	KALLIOLA S
AGGELIKI, KALOGIANNI	AGGELIKI	KALOGIANNI	AGGELIKI	KALOGIANNI	ISGC	A	KALOGIANNI A
KONSTANTINOS, KALOGIANNIS	KONSTANTINOS	KALOGIANNIS	KONSTANTINOS	KALOGIANNIS	ISGC	K	KALOGIANNIS K
NICOLAS, KAMBIA	NICOLAS	KAMBIA	NICOLAS	KAMBIA	ISGC	N	KAMBIA N
PAUL C J, KAMER	PAUL C J	KAMER	PAUL C J	KAMER	ISGC	PCJ	KAMER PCJ
ANDREÏ, KANAEV	ANDREÏ	KANAEV	ANDREI	KANAEV	ISGC	A	KANAEV A
ANDREI, KANAEV	ANDREI	KANAEV	ANDREI	KANAEV	ISGC	A	KANAEV A
NASREDDINE, KANFAR	NASREDDINE	KANFAR	NASREDDINE	KANFAR	ISGC	N	KANFAR N
JANI, KANGAS	JANI	KANGAS	JANI	KANGAS	ISGC	J	KANGAS J
ANNA, KANN	ANNA	KANN	ANNA	KANN	ISGC	A	KANN A
NINA, KANN	NINA	KANN	NINA	KANN	ISGC	N	KANN N
O, KAPPE	O	KAPPE	CHRISTIAN OLIVER	KAPPE	ISGC	O	KAPPE O
C OLIVER, KAPPE	C OLIVER	KAPPE	CHRISTIAN OLIVER	KAPPE	ISGC	CO	KAPPE CO
CHRISTIAN OLIVER, KAPPE	CHRISTIAN OLIVER	KAPPE	CHRISTIAN OLIVER	KAPPE	ISGC	CO	KAPPE CO
CHARLES, KAPPENSTEIN	CHARLES	KAPPENSTEIN	CHARLES	KAPPENSTEIN	ISGC	C	KAPPENSTEIN C
CHAU, KAR YEE	CHAU	KAR YEE	CHAU	KAR YEE	ISGC	C	KAR YEE C
STAMATIA, KARAKOULIA	STAMATIA	KARAKOULIA	STAMATIA	KARAKOULIA	ISGC	S	KARAKOULIA S
AYMAN, KARAM	AYMAN	KARAM	AYMAN	KARAM	ISGC	A	KARAM A
IYAD, KARAMÉ	IYAD	KARAMÉ	IYAD	KARAME	ISGC	I	KARAME I
IYAD, KARAME	IYAD	KARAME	IYAD	KARAME	ISGC	I	KARAME I
NEHA, KARANWAL	NEHA	KARANWAL	NEHA	KARANWAL	ISGC	N	KARANWAL N
NATHALIE, KARDOS	NATHALIE	KARDOS	NATHALIE	KARDOS	ISGC	N	KARDOS N
MATTI, KARP	MATTI	KARP	MATTI	KARP	ISGC	M	KARP M
BENOIT, KARTHEUSER	BENOIT	KARTHEUSER	BENOIT	KARTHEUSER	ISGC	B	KARTHEUSER B
KANNAN, KARUNAKARAN	KANNAN	KARUNAKARAN	KANNAN	KARUNAKARAN	ISGC	K	KARUNAKARAN K
HEBA, KASHMERY	HEBA	KASHMERY	HEBA	KASHMERY	ISGC	H	KASHMERY H
NEJIB, KASMI	NEJIB	KASMI	NEJIB	KASMI	ISGC	N	KASMI N
SAMIR, KASMI	SAMIR	KASMI	SAMIR	KASMI	ISGC	S	KASMI S
VALERYIA, KASNERYK	VALERYIA	KASNERYK	VALERYIA	KASNERYK	ISGC	V	KASNERYK V
SARMAD NAIM, KATEA	SARMAD NAIM	KATEA	SARMAD NAIM	KATEA	ISGC	SN	KATEA SN
BENJAMIN, KATRYNIOK	BENJAMIN	KATRYNIOK	BENJAMIN	KATRYNIOK	ISGC	B	KATRYNIOK B
BASTIEN, KAUFFMANN	BASTIEN	KAUFFMANN	BASTIEN	KAUFFMANN	ISGC	B	KAUFFMANN B
MARCELO DAVID, KAUFMAN RECHULSKI	MARCELO DAVID	KAUFMAN RECHULSKI	MARCELO DAVID	KAUFMAN RECHULSKI	ISGC	MD	KAUFMAN RECHULSKI MD
MARCELO, RECHULSKI	MARCELO	RECHULSKI	MARCELO DAVID	KAUFMAN RECHULSKI	ISGC	M	RECHULSKI M
GUNEET, KAUR	GUNEET	KAUR	GUNEET	KAUR	ISGC	G	KAUR G
HARJINDER, KAUR	HARJINDER	KAUR	HARJINDER	KAUR	ISGC	H	KAUR H
HAJIME, KAWANAMI	HAJIME	KAWANAMI	HAJIME	KAWANAMI	ISGC	H	KAWANAMI H
HENNING, KAYSER	HENNING	KAYSER	HENNING	KAYSER	ISGC	H	KAYSER H
ALEXANDER, KAZACHENKO	ALEXANDER	KAZACHENKO	ALEXANDER	KAZACHENKO	ISGC	A	KAZACHENKO A
OLGA, KAZAKOVA	OLGA	KAZAKOVA	OLGA	KAZAKOVA	ISGC	O	KAZAKOVA O
KAMILA, KAZMIERCZAK	KAMILA	KAZMIERCZAK	KAMILA	KAZMIERCZAK	ISGC	K	KAZMIERCZAK K
MATTHIAS, KEHRER	MATTHIAS	KEHRER	MATTHIAS	KEHRER	ISGC	M	KEHRER M
JULIEN, KELBER	JULIEN	KELBER	JULIEN	KELBER	ISGC	J	KELBER J
NICOLAS, KELLER	NICOLAS	KELLER	NICOLAS	KELLER	ISGC	N	KELLER N
ERHARD, KEMNITZ	ERHARD	KEMNITZ	ERHARD	KEMNITZ	ISGC	E	KEMNITZ E
MELHA, KENDEL	MELHA	KENDEL	MELHA	KENDEL	ISGC	M	KENDEL M
TOBIAS, KEPLINGER	TOBIAS	KEPLINGER	TOBIAS	KEPLINGER	ISGC	T	KEPLINGER T
SELIM, KERMASHA	SELIM	KERMASHA	SELIM	KERMASHA	ISGC	S	KERMASHA S
FRANCESCA, KERTON	FRANCESCA	KERTON	FRANCESCA	KERTON	ISGC	F	KERTON F
AÎDA, KESRAOUI	AÎDA	KESRAOUI	AIDA	KESRAOUI	ISGC	A	KESRAOUI A
AIDA, KESRAOUI	AIDA	KESRAOUI	AIDA	KESRAOUI	ISGC	A	KESRAOUI A
RACHID, KESSAS	RACHID	KESSAS	RACHID	KESSAS	ISGC	R	KESSAS R
PHAN DINH, KHA	PHAN DINH	KHA	PHAN DINH	KHA	ISGC	PD	KHA PD
ROMAISSA, KHADRAOUI	ROMAISSA	KHADRAOUI	ROMAISSA	KHADRAOUI	ISGC	R	KHADRAOUI R
MOUSTAFA, KHALIFA	MOUSTAFA	KHALIFA	MOUSTAFA	KHALIFA	ISGC	M	KHALIFA M
KHALED, KHALILI	KHALED	KHALILI	KHALED	KHALILI	ISGC	K	KHALILI K
IMRAN, KHAN	IMRAN	KHAN	IMRAN	KHAN	ISGC	I	KHAN I
MOHAMMAD SHAHNEAWZ, KHAN	MOHAMMAD SHAHNEAWZ	KHAN	MOHAMMAD SHAHNEAWZ	KHAN	ISGC	MS	KHAN MS
ANISSA, KHELFA	ANISSA	KHELFA	ANISSA	KHELFA	ISGC	A	KHELFA A
ABDELHAK, KHERBECHE	ABDELHAK	KHERBECHE	ABDELHAK	KHERBECHE	ISGC	A	KHERBECHE A
OMAR, KHEROUA	OMAR	KHEROUA	OMAR	KHEROUA	ISGC	O	KHEROUA O
CHAHINAZ, KHIAR	CHAHINAZ	KHIAR	CHAHINAZ	KHIAR	ISGC	C	KHIAR C
MOHAMAD REZA, KHODADADI	MOHAMAD REZA	KHODADADI	MOHAMAD REZA	KHODADADI	ISGC	MR	KHODADADI MR
ANDREI, KHODAKOV	ANDREI	KHODAKOV	ANDREI	KHODAKOV	ISGC	A	KHODAKOV A
SANTOSH GOVIND, KHOKARALE	SANTOSH GOVIND	KHOKARALE	SANTOSH GOVIND	KHOKARALE	ISGC	SG	KHOKARALE SG
MARIAM, KHOLANY	MARIAM	KHOLANY	MARIAM	KHOLANY	ISGC	M	KHOLANY M
SOUHILA, KHORSI LABOUKHI	SOUHILA	KHORSI LABOUKHI	SOUHILA	KHORSI LABOUKHI	ISGC	S	KHORSI LABOUKHI S
ALI, KHOSHSIMA	ALI	KHOSHSIMA	ALI	KHOSHSIMA	ISGC	A	KHOSHSIMA A
LHOUSSAIN, KHROUZ	LHOUSSAIN	KHROUZ	LHOUSSAIN	KHROUZ	ISGC	L	KHROUZ L
LHOUSSAIN, KROUTZ	LHOUSSAIN	KROUTZ	LHOUSSAIN	KHROUZ	ISGC	L	KROUTZ L
CHRISTOPHER, KIELY	CHRISTOPHER	KIELY	CHRISTOPHER	KIELY	ISGC	C	KIELY C
JULIEN, KIENER	JULIEN	KIENER	JULIEN	KIENER	ISGC	J	KIENER J
OLEG, KIKHTYANIN	OLEG	KIKHTYANIN	OLEG	KIKHTYANIN	ISGC	O	KIKHTYANIN O
BYEONGJO, KIM	BYEONGJO	KIM	BYEONGJO	KIM	ISGC	B	KIM B
DAL RYE, KIM	DAL RYE	KIM	DAL RYE	KIM	ISGC	DR	KIM DR
DONG WOO, KIM	DONG WOO	KIM	DONG WOO	KIM	ISGC	DW	KIM DW
DOWON, KIM	DOWON	KIM	DOWON	KIM	ISGC	D	KIM D
EUNMI, KIM	EUNMI	KIM	EUNMI	KIM	ISGC	E	KIM E
HAN SOL, KIM	HAN SOL	KIM	HAN SOL	KIM	ISGC	HS	KIM HS
JAEHOON, KIM	JAEHOON	KIM	JAEHOON	KIM	ISGC	J	KIM J
JEONG-HOON, KIM	JEONG-HOON	KIM	JEONG HOON	KIM	ISGC	J	KIM J
JEONG HOON, KIM	JEONG HOON	KIM	JEONG HOON	KIM	ISGC	JH	KIM JH
JEONG-KEE, KIM	JEONG-KEE	KIM	JEONG KEE	KIM	ISGC	J	KIM J
JEONG KEE, KIM	JEONG KEE	KIM	JEONG KEE	KIM	ISGC	JK	KIM JK
JINSOO, KIM	JINSOO	KIM	JINSOO	KIM	ISGC	J	KIM J
JUNGBAE, KIM	JUNGBAE	KIM	JUNGBAE	KIM	ISGC	J	KIM J
SANGHOON, KIM	SANGHOON	KIM	SANGHOON	KIM	ISGC	S	KIM S
SANGHYO, KIM	SANGHYO	KIM	SANGHYO	KIM	ISGC	S	KIM S
SEUNG-SOO, KIM	SEUNG-SOO	KIM	SEUNG SOO	KIM	ISGC	S	KIM S
SEUNG SOO, KIM	SEUNG SOO	KIM	SEUNG SOO	KIM	ISGC	SS	KIM SS
SUN MIN, KIM	SUN MIN	KIM	SUN MIN	KIM	ISGC	SM	KIM SM
WOONG, KIM	WOONG	KIM	WOONG	KIM	ISGC	W	KIM W
YONG-JIN, KIM	YONG-JIN	KIM	YONG JIN	KIM	ISGC	Y	KIM Y
YONG JIN, KIM	YONG JIN	KIM	YONG JIN	KIM	ISGC	YJ	KIM YJ
YOUNG SUG, KIM	YOUNG SUG	KIM	YOUNG SUG	KIM	ISGC	YS	KIM YS
YOUNG-WUN, KIM	YOUNG-WUN	KIM	YOUNG WUN	KIM	ISGC	Y	KIM Y
YOUNG WUN, KIM	YOUNG WUN	KIM	YOUNG WUN	KIM	ISGC	YW	KIM YW
TAKUMI, KIMIJIMA	TAKUMI	KIMIJIMA	TAKUMI	KIMIJIMA	ISGC	T	KIMIJIMA T
SOLEN, KINAYYIGIT	SOLEN	KINAYYIGIT	SOLEN	KINAYYIGIT	ISGC	S	KINAYYIGIT S
ALISTAIR, KING	ALISTAIR	KING	ALISTAIR	KING	ISGC	A	KING A
LUKAS, KIPSHAGEN	LUKAS	KIPSHAGEN	LUKAS	KIPSHAGEN	ISGC	L	KIPSHAGEN L
LUKAS, VÖMEL	LUKAS	VÖMEL	LUKAS	KIPSHAGEN	ISGC	L	VOMEL L
LUKAS, VOEMEL	LUKAS	VOEMEL	LUKAS	KIPSHAGEN	ISGC	L	VOEMEL L
SARAH, KIRCHHECKER	SARAH	KIRCHHECKER	SARAH	KIRCHHECKER	ISGC	S	KIRCHHECKER S
MARY, KIRCHHOFF	MARY	KIRCHHOFF	MARY	KIRCHHOFF	ISGC	M	KIRCHHOFF M
ALEXEY, KIRILIN	ALEXEY	KIRILIN	ALEXEY	KIRILIN	ISGC	A	KIRILIN A
KERRY, KIRWAN	KERRY	KIRWAN	KERRY	KIRWAN	ISGC	K	KIRWAN K
SATOSHI, KITAOKA	SATOSHI	KITAOKA	SATOSHI	KITAOKA	ISGC	S	KITAOKA S
JÜRGEN, KLANKERMAYER	JÜRGEN	KLANKERMAYER	JURGEN	KLANKERMAYER	ISGC	J	KLANKERMAYER J
JURGEN, KLANKERMAYER	JURGEN	KLANKERMAYER	JURGEN	KLANKERMAYER	ISGC	J	KLANKERMAYER J
TIM, KLASEN	TIM	KLASEN	TIM	KLASEN	ISGC	T	KLASEN T
ARJAN W, KLEIJ	ARJAN W	KLEIJ	ARJAN W	KLEIJ	ISGC	AW	KLEIJ AW
ARJAN, KLEIJ	ARJAN	KLEIJ	ARJAN W	KLEIJ	ISGC	A	KLEIJ A
CHRISTINE, KLEIN	CHRISTINE	KLEIN	CHRISTINE	KLEIN	ISGC	C	KLEIN C
ELISABETH, KLINDTWORTH	ELISABETH	KLINDTWORTH	ELISABETH	KLINDTWORTH	ISGC	E	KLINDTWORTH E
HOLGER, KLOSE	HOLGER	KLOSE	HOLGER	KLOSE	ISGC	H	KLOSE H
SILVIA, KLOTZ	SILVIA	KLOTZ	SILVIA	KLOTZ	ISGC	S	KLOTZ S
DAVID, KNIGHT	DAVID	KNIGHT	DAVID	KNIGHT	ISGC	D	KNIGHT D
DENNIS, KNOGLER	DENNIS	KNOGLER	DENNIS	KNOGLER	ISGC	D	KNOGLER D
DENNIS, KNÖGLER	DENNIS	KNÖGLER	DENNIS	KNOGLER	other	D	KNOGLER D
D, KNÖGLER	D	KNÖGLER	DENNIS	KNOGLER	other	D	KNOGLER D
NIELS OLE, KNUDSEN	NIELS OLE	KNUDSEN	NIELS OLE	KNUDSEN	ISGC	NO	KNUDSEN NO
SHU, KOBAYASHI	SHU	KOBAYASHI	SHU	KOBAYASHI	ISGC	S	KOBAYASHI S
S, KOBAYASHI	S	KOBAYASHI	SHU	KOBAYASHI	ISGC	S	KOBAYASHI S
KILIAN, KOBL	KILIAN	KOBL	KILIAN	KOBL	ISGC	K	KOBL K
ANGELA, KÖCKRITZ	ANGELA	KÖCKRITZ	ANGELA	KOCKRITZ	ISGC	A	KOCKRITZ A
ANGELA, KOECKRITZ	ANGELA	KOECKRITZ	ANGELA	KOCKRITZ	ISGC	A	KOECKRITZ A
ANGELA, KOCKRITZ	ANGELA	KOCKRITZ	ANGELA	KOCKRITZ	ISGC	A	KOCKRITZ A
MIHKEL, KOEL	MIHKEL	KOEL	MIHKEL	KOEL	ISGC	M	KOEL M
STEF, KOELEWIJN	STEF	KOELEWIJN	STEVEN FRISO	KOELEWIJN	ISGC	S	KOELEWIJN S
STEVEN-FRISO, KOELEWIJN	STEVEN-FRISO	KOELEWIJN	STEVEN FRISO	KOELEWIJN	ISGC	S	KOELEWIJN S
STEVEN FRISO, KOELEWIJN	STEVEN FRISO	KOELEWIJN	STEVEN FRISO	KOELEWIJN	ISGC	SF	KOELEWIJN SF
BONIFACE, KOKOH	BONIFACE	KOKOH	KOUAKOU BONIFACE	KOKOH	ISGC	B	KOKOH B
KOUAKOU BONIFACE, KOKOH	KOUAKOU BONIFACE	KOKOH	KOUAKOU BONIFACE	KOKOH	ISGC	KB	KOKOH KB
PAVEL, KOLINKO	PAVEL	KOLINKO	PAVEL	KOLINKO	ISGC	P	KOLINKO P
YOSHIHIRO, KON	YOSHIHIRO	KON	YOSHIHIRO	KON	ISGC	Y	KON Y
SHARDA, KONDAWAR	SHARDA	KONDAWAR	SHARDA	KONDAWAR	ISGC	S	KONDAWAR S
YUTA, KONDO	YUTA	KONDO	YUTA	KONDO	ISGC	Y	KONDO Y
JULIE, KONG	JULIE	KONG	JULIE	KONG	ISGC	J	KONG J
PEI-SAN, KONG	PEI-SAN	KONG	PEI SAN	KONG	ISGC	P	KONG P
PEI SAN, KONG	PEI SAN	KONG	PEI SAN	KONG	ISGC	PS	KONG PS
BURKHARD, KÖNIG	BURKHARD	KÖNIG	BURKHARD	KONIG	ISGC	B	KONIG B
BURKHARD, KOENIG	BURKHARD	KOENIG	BURKHARD	KONIG	ISGC	B	KOENIG B
BURKHARD, KONIG	BURKHARD	KONIG	BURKHARD	KONIG	ISGC	B	KONIG B
LAURE, KONNERT	LAURE	KONNERT	LAURE	KONNERT	ISGC	L	KONNERT L
CLEO, KONTORAVDI	CLEO	KONTORAVDI	CLEO	KONTORAVDI	ISGC	C	KONTORAVDI C
PATRICIA J, KOOYMAN	PATRICIA J	KOOYMAN	PATRICIA J	KOOYMAN	ISGC	PJ	KOOYMAN PJ
WASSILA, KORICHI	WASSILA	KORICHI	WASSILA	KORICHI	ISGC	W	KORICHI W
ANTTI, KORPI	ANTTI	KORPI	ANTTI	KORPI	ISGC	A	KORPI A
WOLFGANG, KORTH	WOLFGANG	KORTH	WOLFGANG	KORTH	ISGC	W	KORTH W
JAKUB, KOSTAL	JAKUB	KOSTAL	JAKUB	KOSTAL	ISGC	J	KOSTAL J
