name	original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
CARINE, ALFOS	CARINE	ALFOS	CARINE	ALFOS	ISGC	C	ALFOS C
BODOUR, ALHASHDI	BODOUR	ALHASHDI	BODOUR	ALHASHDI	ISGC	B	ALHASHDI B
GHINA, ALI	GHINA	ALI	GHINA	ALI	ISGC	G	ALI G
LIAQAT, ALI	LIAQAT	ALI	LIAQAT	ALI	ISGC	L	ALI L
LEILA, ALIEVA	LEILA	ALIEVA	LEILA	ALIEVA	ISGC	L	ALIEVA L
MARINA, ALISTE	MARINA	ALISTE	MARINA	ALISTE	ISGC	M	ALISTE M
FLORENT, ALLAIS	FLORENT	ALLAIS	FLORENT	ALLAIS	ISGC	F	ALLAIS F
FARIDA, ALLAL	FARIDA	ALLAL	FARIDA	ALLAL	ISGC	F	ALLAL F
CHIARA, ALLEGRETTI	CHIARA	ALLEGRETTI	CHIARA	ALLEGRETTI	ISGC	C	ALLEGRETTI C
AMINA, ALLOUACHE	AMINA	ALLOUACHE	AMINA	ALLOUACHE	ISGC	A	ALLOUACHE A
A, ALLOUACHE	A	ALLOUACHE	AMINA	ALLOUACHE	other	A	ALLOUACHE A
OURIDA, ALLOUI-LOMBARKIA	OURIDA	ALLOUI-LOMBARKIA	OURIDA	ALLOUI LOMBARKIA	ISGC	O	ALLOUI-LOMBARKIA O
OURIDA, ALLOUI LOMBARKIA	OURIDA	ALLOUI LOMBARKIA	OURIDA	ALLOUI LOMBARKIA	ISGC	O	ALLOUI LOMBARKIA O
ABDULRAHMAN I, ALMANSOUR	ABDULRAHMAN I	ALMANSOUR	ABDULRAHMAN I	ALMANSOUR	ISGC	AI	ALMANSOUR AI
ISABEL F, ALMEIDA	ISABEL F	ALMEIDA	ISABEL F	ALMEIDA	ISGC	IF	ALMEIDA IF
MAFALDA R, ALMEIDA	MAFALDA R	ALMEIDA	MAFALDA R	ALMEIDA	ISGC	MR	ALMEIDA MR
ESTHER, ALONSO	ESTHER	ALONSO	GLORIA ESTHER	ALONSO	ISGC	E	ALONSO E
GLORIA ESTHER, ALONSO	GLORIA ESTHER	ALONSO	GLORIA ESTHER	ALONSO	ISGC	GE	ALONSO GE
GLORIA ESTHER, ALONSO SANCHEZ	GLORIA ESTHER	ALONSO SANCHEZ	GLORIA ESTHER	ALONSO	other	GE	ALONSO SANCHEZ GE
M VIRGINIA, ALONSO	M VIRGINIA	ALONSO	MARIA VIRGINIA	ALONSO	ISGC	MV	ALONSO MV
MARIA VIRGINIA, ALONSO	MARIA VIRGINIA	ALONSO	MARIA VIRGINIA	ALONSO	ISGC	MV	ALONSO MV
ZEID, ALOTHMAN	ZEID	ALOTHMAN	ZEID	ALOTHMAN	ISGC	Z	ALOTHMAN Z
ISABELLE, ALRIC	ISABELLE	ALRIC	ISABELLE	ALRIC	ISGC	I	ALRIC I
BJØRN, ALSBERG	BJØRN	ALSBERG	BJORN	ALSBERG	ISGC	B	ALSBERG B
BJORN, ALSBERG	BJORN	ALSBERG	BJORN	ALSBERG	ISGC	B	ALSBERG B
HAMED, ALSHAMMARI	HAMED	ALSHAMMARI	HAMED	ALSHAMMARI	ISGC	H	ALSHAMMARI H
MOHAMMED, ALSHAMMARI	MOHAMMED	ALSHAMMARI	MOHAMMED	ALSHAMMARI	ISGC	M	ALSHAMMARI M
BELEN, ALTAVA	BELEN	ALTAVA	BELEN	ALTAVA	ISGC	B	ALTAVA B
ELENA, ALVAREZ	ELENA	ALVAREZ	ELENA	ALVAREZ	ISGC	E	ALVAREZ E
YOLANDA, ALVAREZ-GALLEGO	YOLANDA	ALVAREZ-GALLEGO	YOLANDA	ALVAREZ GALLEGO	ISGC	Y	ALVAREZ-GALLEGO Y
YOLANDA, ALVAREZ GALLEGO	YOLANDA	ALVAREZ GALLEGO	YOLANDA	ALVAREZ GALLEGO	ISGC	Y	ALVAREZ GALLEGO Y
